time:    0.0
  100.00   11.36    0.68    0.03    0.00    0.00    0.00    0.00    0.00    0.00
    0.00    0.00    0.00    0.00    0.00    0.00    0.03    0.68   11.36  100.00
time:   32.0
  100.00   11.67    0.72    0.03    0.00    0.00    0.00    0.00    0.00    0.00
    0.00    0.00    0.00    0.00    0.00    0.00    0.03    0.72   11.67  100.00
time:   33.0
  100.00   11.98    0.76    0.03    0.00    0.00    0.00    0.00    0.00    0.00
    0.00    0.00    0.00    0.00    0.00    0.00    0.03    0.76   11.98  100.00
time:   34.0
  100.00   12.29    0.80    0.03    0.00    0.00    0.00    0.00    0.00    0.00
    0.00    0.00    0.00    0.00    0.00    0.00    0.03    0.80   12.29  100.00
time:   35.0
  100.00   12.59    0.84    0.04    0.00    0.00    0.00    0.00    0.00    0.00
    0.00    0.00    0.00    0.00    0.00    0.00    0.04    0.84   12.59  100.00
time:   36.0
  100.00   12.90    0.89    0.04    0.00    0.00    0.00    0.00    0.00    0.00
    0.00    0.00    0.00    0.00    0.00    0.00    0.04    0.89   12.90  100.00
time:   37.0
  100.00   13.20    0.93    0.04    0.00    0.00    0.00    0.00    0.00    0.00
    0.00    0.00    0.00    0.00    0.00    0.00    0.04    0.93   13.20  100.00
time:   38.0
  100.00   13.49    0.98    0.05    0.00    0.00    0.00    0.00    0.00    0.00
    0.00    0.00    0.00    0.00    0.00    0.00    0.05    0.98   13.49  100.00
time:   39.0
  100.00   13.79    1.02    0.05    0.00    0.00    0.00    0.00    0.00    0.00
    0.00    0.00    0.00    0.00    0.00    0.00    0.05    1.02   13.79  100.00
time:   40.0
  100.00   14.08    1.07    0.05    0.00    0.00    0.00    0.00    0.00    0.00
    0.00    0.00    0.00    0.00    0.00    0.00    0.05    1.07   14.08  100.00
time:   41.0
  100.00   14.38    1.12    0.06    0.00    0.00    0.00    0.00    0.00    0.00
    0.00    0.00    0.00    0.00    0.00    0.00    0.06    1.12   14.38  100.00
time:   42.0
  100.00   14.66    1.17    0.06    0.00    0.00    0.00    0.00    0.00    0.00
    0.00    0.00    0.00    0.00    0.00    0.00    0.06    1.17   14.66  100.00
time:   43.0
  100.00   14.95    1.22    0.07    0.00    0.00    0.00    0.00    0.00    0.00
    0.00    0.00    0.00    0.00    0.00    0.00    0.07    1.22   14.95  100.00
time:   44.0
